Time	Iteration	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps
162.27837824821472	10	-5.39375952239	0.36324791672	-5.24628019	-6.73165163708	3180908
387.65902495384216	20	-1.4602070415	0.121864589732	-0.747162460094	-1.84320332739	7970813
612.9882218837738	30	-1.79110475186	0.0670677555684	-1.64944620096	-1.8793640718	12748985
833.1222333908081	40	-1.55910346731	0.0654297288146	-1.43247663354	-1.94607131484	17527134
1054.2987215518951	50	-2.45654098888	0.624083086828	-1.04773888348	-3.19736820131	22320077
1265.5074915885925	60	-0.69009331504	0.122765578732	-0.588885362688	-1.08123998835	27110265
1475.2930212020874	70	-1.33389006919	0.0803348556893	-1.19385083498	-1.46416056476	31897695
1679.5922350883484	80	0.458401613184	0.275445739804	1.09065949047	-0.234569736194	36662535
1883.1109466552734	90	2.69257838492	0.540771502788	3.7165671617	0.206972609197	41402123
2089.765514612198	100	2.7862691059	1.72542215501	4.04141608396	-11.2240439407	46188206
2297.0905623435974	110	3.89072601821	1.25903007838	4.62094723067	-6.59606724399	50981164
2505.3912467956543	120	4.30283916754	1.98630362793	5.32689319585	-9.76463872863	55767045
2710.625884771347	130	6.62802130514	1.84723792597	8.28094086727	-7.4020066419	60551394
2908.5995485782623	140	229.724899053	38.7661442568	249.329626124	18.9755933563	65257190
3108.2106914520264	150	266.780093711	5.41371002921	280.708820615	253.642245447	70015813
3299.9024152755737	160	293.364743724	4.33313360599	301.357132008	281.95685201	74696779
3491.552936553955	170	297.935625621	1.8264116591	300.573796762	291.382377378	79459906
3679.381572008133	180	300.136905315	1.51026263611	302.641147447	296.483335843	84190092
3866.6318056583405	190	300.879279512	1.48987037652	303.432263852	296.985331296	88951007
4054.645487308502	200	303.523655961	1.58538351112	306.055828151	299.095575936	93715183
4242.80961060524	210	302.607723265	1.66308833918	305.25457699	297.921193148	98488708
4429.019527673721	220	293.145214142	48.8152649318	305.273331726	-21.2568924283	103231937
4616.035566329956	230	300.530878882	18.5704179296	304.772286394	116.395377999	108007812
4800.593913078308	240	302.726317454	1.62698733889	305.704248062	298.57457853	112730374
4987.35567855835	250	302.836352445	1.53682538385	305.655120644	298.830435709	117500834
5173.843775510788	260	302.324800274	1.60277014178	306.165696762	298.443901286	122275637
5360.022489786148	270	302.750516191	1.55333225578	305.565704454	299.453944036	127045586
5545.655563831329	280	302.463649115	1.46517655984	305.647869061	298.655978759	131818369
5732.293254852295	290	301.274113764	1.67442936654	304.812502202	297.110626767	136597574
5917.924807071686	300	302.274741624	1.58243618652	305.202167091	298.662979046	141363885
6104.264207601547	310	302.586202167	1.488040268	305.652563968	299.726854357	146147431
6289.351237535477	320	299.040126399	34.7659371605	306.479741657	-28.9153797751	150924711
6474.916520833969	330	297.015247152	42.2104864027	307.228982298	-17.7377695916	155698545
6659.468520641327	340	303.204872316	1.6495313225	306.237120514	297.84623859	160451490
6844.304974317551	350	303.203651869	1.57747724883	306.331546058	298.629336959	165229573
7028.905484676361	360	303.240153274	17.9738709219	308.103610349	125.056513253	170008154
7213.308393955231	370	304.398423251	1.80913822934	307.828051397	299.237985273	174781065
7397.883991956711	380	305.838254891	1.85192814522	308.612785099	301.057941775	179545671
7582.068652153015	390	305.330126401	6.74846549733	310.104972357	240.805128862	184329802
7766.324563503265	400	304.579764223	1.57953756787	307.527949716	299.35874269	189110120
7950.046669006348	410	302.240676481	33.4627393665	308.730897857	-30.2021065771	193870456
8132.993981599808	420	305.183673412	1.79121009354	308.267067127	299.06165902	198608251
8317.262030363083	430	305.263178243	1.70834734976	308.409262056	301.006021914	203390342
8501.117630004883	440	305.023486002	1.60466254754	308.073958163	301.129972103	208174245
8685.178741931915	450	305.108508773	1.68664563049	308.705375195	300.941090435	212957811
8869.649084329605	460	305.394906413	1.86310391243	309.101714224	300.58730941	217737829
9052.96406340599	470	303.413375243	18.1482523548	308.390751719	123.684042684	222519100
9236.257648468018	480	306.618909328	1.97246817213	309.464490099	300.989523922	227295452
9419.691108703613	490	302.426138469	35.7309322888	309.132783911	-52.7112499555	232076764
9602.664598464966	500	306.347376649	1.76159271842	309.802616158	302.229471783	236854491
9786.13736319542	510	301.997923174	29.6292181977	309.011630092	46.5245574024	241634838
9969.506041049957	520	305.186273367	1.88305398638	308.168893206	301.006634228	246409220
10154.304710149765	530	303.412163096	19.6378330702	308.636319004	108.720781757	251190999
10338.450287818909	540	303.459611644	24.7134434007	309.536898864	58.0480134007	255970565
